Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
06/06/2019,LTCUSD,103.79,112.33,101.05,111.47,303909.2,32167356.37
05/06/2019,LTCUSD,102.14,106,100,103.79,245190.29,25206234.36
04/06/2019,LTCUSD,105.87,106.34,97.05,102.14,519489.74,53061393.86
03/06/2019,LTCUSD,114.55,116.11,104.59,105.87,301745.84,33410373.21
02/06/2019,LTCUSD,112.48,116.65,111.9,114.55,160880.92,18394347.88
01/06/2019,LTCUSD,114.47,116.11,111,112.48,222288.69,25252892.05
31/05/2019,LTCUSD,107.95,114.8,104.47,114.47,262074.79,28670290.15
30/05/2019,LTCUSD,115.29,121,101.7,107.95,596280.16,67549260.94
29/05/2019,LTCUSD,114.95,118.49,108.52,115.29,309628.61,35564142.18
28/05/2019,LTCUSD,116.5,118.21,111.58,114.95,297805.53,34181911.44
27/05/2019,LTCUSD,112.56,122,110.58,116.5,592652.35,68219178.35
26/05/2019,LTCUSD,103.02,114.5,99,112.56,401668.02,43046783.55
25/05/2019,LTCUSD,100.5,104.95,98.8,103.02,287713.05,29489471.73
24/05/2019,LTCUSD,88.95,103.9,88.21,100.5,569272.75,55982228.92
23/05/2019,LTCUSD,87.72,89.87,84.75,88.95,169313.05,14807176.84
22/05/2019,LTCUSD,91.25,92.58,85.65,87.72,254405.84,22735743.04
21/05/2019,LTCUSD,91.69,93.5,89.46,91.25,164062.37,15003487.79
20/05/2019,LTCUSD,95.06,95.09,87.34,91.69,278978.2,25440085.98
19/05/2019,LTCUSD,86.65,97.28,86.24,95.06,372348.13,34766073.18
18/05/2019,LTCUSD,89.88,90.61,85.2,86.65,172760.87,15192693.74
17/05/2019,LTCUSD,95.75,97.55,84,89.88,586522.2,51883315.99
16/05/2019,LTCUSD,102.26,107.6,90.81,95.75,794273.51,78662475.38
15/05/2019,LTCUSD,91.69,104.49,90.5,102.26,722624.46,70789577.98
14/05/2019,LTCUSD,87.78,94.44,85.61,91.69,525564.04,47524747.75
13/05/2019,LTCUSD,84.79,93.48,84.11,87.78,550967.8,49136902.12
12/05/2019,LTCUSD,88.31,94.3,83,84.79,673930.93,59257433.94
11/05/2019,LTCUSD,76.68,95.99,76.68,88.31,746240.91,65493441.32
10/05/2019,LTCUSD,73.76,79.24,72.38,76.68,266665.97,20245651.55
09/05/2019,LTCUSD,73.83,75.59,72.2,73.76,176632.48,13035322.13
08/05/2019,LTCUSD,73.33,75,71.31,73.83,150863.51,11031282.11
07/05/2019,LTCUSD,74.09,77.9,74.09,76.34,87322.13,6683084.2
06/05/2019,LTCUSD,74.79,76.09,70.55,74.09,178759.99,13145541.76
05/05/2019,LTCUSD,76.92,77.33,74.4,74.79,85305.79,6462460.47
04/05/2019,LTCUSD,77.72,81.5,73.5,76.92,206169.25,15986190.2
03/05/2019,LTCUSD,72.16,79.87,71.94,77.72,215395.11,16588557.92
02/05/2019,LTCUSD,72.52,73.4,71.36,72.16,78668.67,5687294.06
01/05/2019,LTCUSD,73.51,74.9,71,72.52,143974.55,10463693.1
